annotator,evaluated_items,exact_best_matches,calculated_exact_match_rate,calculated_exact_match_percent,calculated_micro_f1_percent,micro_f1_tp,micro_f1_fp,micro_f1_fn,paper_exact_match_percent,paper_micro_f1_percent
Ettore,271,205,0.7564575645756457,75.64575645756457,81.46788990825688,222,71,30,75.7,81.5
Jorryt,271,229,0.8450184501845018,84.50184501845018,85.95744680851064,202,26,40,84.5,86.0
Lasha,271,219,0.8081180811808119,80.81180811808119,85.87155963302753,234,44,33,80.8,85.9
Stefan,273,226,0.8278388278388278,82.78388278388277,86.15384615384616,224,34,38,82.8,86.2
