prompt,model,configuration,generation_runs,runs_with_precision,mean_precision,sample_stddev_precision,runs_with_recall,mean_recall,sample_stddev_recall,runs_with_micro_f1,mean_micro_f1,sample_stddev_micro_f1,runs_with_exact_best_match_rate,mean_exact_best_match_rate,sample_stddev_exact_best_match_rate,total_total_items,total_evaluated_items,total_error_runs,total_skipped_missing_prediction,total_skipped_no_reference
lasha,google/gemma-3-4b-it,argument_order_agnostic,5,5,0.22046746847742746,0.002291245027650328,5,0.5396179387514478,0.0031602777031597474,5,0.3130379580441433,0.002839626745207273,5,0.18309758123424735,0.0033639393166750866,1810,1775,35,35,0
lasha,google/gemma-3-4b-it,combined,5,5,0.3091987696368498,0.00354484339582264,5,0.7328520311426951,0.004616613465795668,5,0.4349037654209779,0.004315740580973338,5,0.25633407631723176,0.004132183913078832,1810,1775,35,35,0
lasha,google/gemma-3-4b-it,lemmas,5,5,0.3042555693130581,0.003537013325793306,5,0.7253848230763088,0.00466950512317325,5,0.42869599305288886,0.0043228385613559295,5,0.25351716596793994,0.004135557659014672,1810,1775,35,35,0
lasha,google/gemma-3-4b-it,original,5,5,0.21923166839647953,0.0022893489458660904,5,0.5382211037722757,0.0031737064599835323,5,0.31155659590788504,0.0028417359913138103,5,0.18028067088495553,0.003365006043884612,1810,1775,35,35,0
lasha,openai/gpt-5.4,argument_order_agnostic,5,5,0.6924892723881911,0.0032521458218741565,5,0.8050837087494799,0.006891254035203656,5,0.7445333692316464,0.0025031105471128713,5,0.6635359116022099,0.008603542266517928,1810,1810,0,0,0
lasha,openai/gpt-5.4,combined,5,5,0.7009307267234277,0.004755876862642695,5,0.8116049973989083,0.005818173408805203,5,0.752198488180811,0.00288396277645486,5,0.6723756906077348,0.010074354988293075,1810,1810,0,0,0
lasha,openai/gpt-5.4,lemmas,5,5,0.6964736211830349,0.005655482243117419,5,0.8082937895880232,0.005794683859290712,5,0.7482059832005395,0.003392616103955249,5,0.6701657458563536,0.010446226740988421,1810,1810,0,0,0
lasha,openai/gpt-5.4,original,5,5,0.6880321668477983,0.0042421707558840714,5,0.8017444610139833,0.00686396663700423,5,0.7405257997673257,0.0029320850413373325,5,0.6613259668508287,0.00886563897010011,1810,1810,0,0,0
lasha,openai/gpt-5.4-mini,argument_order_agnostic,5,5,0.5109575967578937,0.006999608243790052,5,0.7130755596611222,0.013857288859552125,5,0.5952962267145849,0.00837311767628521,5,0.46243093922651934,0.011489853228224005,1810,1810,0,0,0
lasha,openai/gpt-5.4-mini,combined,5,5,0.5818354027626458,0.009692308416843591,5,0.8021955270554026,0.011842431114217337,5,0.6744362128872412,0.009173218452681608,5,0.5104972375690607,0.010224726808465052,1810,1810,0,0,0
lasha,openai/gpt-5.4-mini,lemmas,5,5,0.5776754718082187,0.009276207990137432,5,0.7969342866746072,0.012528024393668435,5,0.6697841781412498,0.009235189719837033,5,0.5088397790055249,0.00944896761131883,1810,1810,0,0,0
lasha,openai/gpt-5.4-mini,original,5,5,0.5084474938233526,0.007083442915954514,5,0.7100106158916455,0.015416670317459132,5,0.5925266724749715,0.009279880585569455,5,0.4607734806629834,0.01094564240671767,1810,1810,0,0,0
lasha,openai/gpt-oss-20b,argument_order_agnostic,5,5,0.6025982846703294,0.008195495367809754,5,0.6319804461282935,0.013450249667674647,5,0.6168968448152928,0.009337279746397009,5,0.5423256454599715,0.011307083571276686,1810,1807,3,3,0
lasha,openai/gpt-oss-20b,combined,5,5,0.6548060636621043,0.0069811563752296074,5,0.6805867741186322,0.01353389372912089,5,0.6673942677898838,0.00824771664900214,5,0.579957453972238,0.010689892691502693,1810,1807,3,3,0
lasha,openai/gpt-oss-20b,lemmas,5,5,0.6530830560467736,0.005646254616152792,5,0.6788025624373628,0.013239557617573762,5,0.6656413760078304,0.0074685379379778915,5,0.579957453972238,0.010689892691502693,1810,1807,3,3,0
lasha,openai/gpt-oss-20b,original,5,5,0.6008752770549988,0.0075010049870459,5,0.6301764451931573,0.013164666187282615,5,0.6151344356413793,0.008838710983177265,5,0.5423256454599715,0.011307083571276686,1810,1807,3,3,0
